OrdNo,AccCode,SecCode,Exch,Dest,SubDest,B/S,Volume,Price,Value,FXRate,Date,PriCliOrdID,XRef,TrdMarker,ExtDestOrdNo,CxlTrdNo,DestUserID,MktTrdNo,NtvCcy,NtvPrc,OrdFXRateAsk,OrdFXRateBid,Side,TrdFXRateAsk,TrdFXRateBid,AccName,IOSName,No.,Description
29057683,IN8001116,TLX,ASX,DMA,,S,210,385,808.5,1,1/02/2021 14:48,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000373838,,,,AUD,385,,,2,,,Harrison Fleming #2,CNXA,1,Telix Pharmaceutical
29057702,IN8001116,SDG,ASX,DMA,,S,326,243,792.18,1,1/02/2021 14:48,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Cross as agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000374115,,,,AUD,243,,,2,,,Harrison Fleming #2,CNXA,1,Sunland Group Ltd
29057727,IN8001116,IGL,ASX,DMA,,S,556,126,700.56,1,1/02/2021 14:48,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000374438,,,,AUD,126,,,2,,,Harrison Fleming #2,CNXA,1,Ivegroup
29057664,IN8001116,WPP,ASX,DMA,,S,1140,69,786.6,1,1/02/2021 14:54,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000373520,,,,AUD,69,,,2,,,Harrison Fleming #2,CNXA,1,WPP Aunz Ltd
29058217,IN8001116,OMH,ASX,DMA,,S,329,82,269.78,1,1/02/2021 14:57,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000381709,,,,AUD,82,,,2,,,Harrison Fleming #2,CNXA,2,OM Holdings Limited
29058313,IN8001116,PLS,ASX,DMA,,B,36,103,37.08,1,1/02/2021 14:59,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000383263,,,,AUD,103,,,1,,,Harrison Fleming #2,CNXA,1,Pilbara Min Ltd
29058301,IN8001116,AVZ,ASX,DMA,,B,101,18.25,18.433,1,1/02/2021 14:59,,IN8001116,"Commission(0), Execution Venue(ASXC), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(ASXC)",5O210V000382873,,,,AUD,18.25,,,1,,,Harrison Fleming #2,CNXA,1,AVZ Minerals Ltd
29058343,IN8001116,SYR,ASX,DMA,,B,47,115,54.05,1,1/02/2021 14:59,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000383876,,,,AUD,115,,,1,,,Harrison Fleming #2,CNXA,1,Syrah Resources
29058378,IN8001116,PDN,ASX,DMA,,B,93,26,24.18,1,1/02/2021 15:00,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000384448,,,,AUD,26,,,1,,,Harrison Fleming #2,CNXA,1,Paladin Energy Ltd
29058424,IN8001116,ORE,ASX,DMA,,B,176,508,894.08,1,1/02/2021 15:01,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000385210,,,,AUD,508,,,1,,,Harrison Fleming #2,CNXA,1,Orocobre Limited
29058454,IN8001116,GXY,ASX,DMA,,B,327,287,938.49,1,1/02/2021 15:01,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000385547,,,,AUD,287,,,1,,,Harrison Fleming #2,CNXA,1,Galaxy Resources
29058494,IN8001116,INR,ASX,DMA,,B,2447,33.75,825.863,1,1/02/2021 15:02,,IN8001116,"Commission(0), Execution Venue(ASXC), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(ASXC)",5O210V000385853,,,,AUD,33.75,,,1,,,Harrison Fleming #2,CNXA,1,Ioneer Ltd
29058516,IN8001116,CRN,ASX,DMA,,B,672,129,866.88,1,1/02/2021 15:03,,IN8001116,"Commission(0), Execution Venue(CHIA), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(CHIA)",5O210V000386475,,,,AUD,129,,,1,,,Harrison Fleming #2,CNXA,2,Coronado Global Res
29058400,IN8001116,SWM,ASX,DMA,,B,46,36.5,16.79,1,1/02/2021 15:05,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000384744,,,,AUD,36.5,,,1,,,Harrison Fleming #2,CNXA,1,Seven West Media Ltd
29058509,IN8001116,JHC,ASX,DMA,,B,1182,72.5,856.95,1,1/02/2021 15:07,,IN8001116,"Commission(0), Execution Venue(XASX), Last Capacity(Agent), Type(AtRisk), Local Market Trade Date(20210201), Last Market(XASX)",5O210V000386241,,,,AUD,72.5,,,1,,,Harrison Fleming #2,CNXA,2,Japara Healthcare Lt
